train_pct,set,x,y,y_hat
80,train,2.2,39891,46053.97672244496
80,train,5.1,66029,73383.0411592348
80,train,2.9,56642,52650.64744856664
80,train,4.1,57081,63959.22583620381
80,train,4.0,55794,63016.84430390072
80,train,7.9,101302,99769.72406372151
80,train,1.3,46205,37572.54293171708
80,train,1.5,37731,39457.30599632328
80,train,9.0,105582,110135.92091905561
80,train,2.0,43525,44169.213657838765
80,train,7.1,98273,92230.67180529673
80,train,9.5,116969,114847.82858057108
80,train,5.9,81363,80922.09341765958
80,train,10.5,121872,124271.64390360206
80,train,6.8,91738,89403.52720838744
80,train,3.2,54445,55477.79204547594
80,train,3.9,63218,62074.46277159762
80,train,4.5,61111,67728.75196541622
80,train,6.0,93940,81864.47494996266
80,train,3.0,60150,53593.02898086974
80,test,9.6,112635,115790.21011287419
80,test,4.9,67938,71498.2780946286
80,test,8.2,113812,102596.8686606308
80,test,5.3,83088,75267.80422384098
80,test,3.2,64445,55477.79204547594
80,test,3.7,57189,60189.69970699143
90,train,5.3,83088,75765.97792409126
90,train,3.2,64445,56086.22037784532
90,train,3.7,57189,60771.8769364753
90,train,10.3,122391,122622.54351039114
90,train,8.7,109431,107628.44252277515
90,train,4.0,56957,63583.270871653294
90,train,1.1,39343,36406.462831599376
90,train,2.2,39891,46714.90726058534
90,train,5.1,66029,73891.71530063926
90,train,2.9,56642,53274.82644266733
90,train,4.1,57081,64520.40218337929
90,train,4.0,55794,63583.270871653294
90,train,7.9,101302,100131.39202896718
90,train,1.3,46205,38280.72545505137
90,train,1.5,37731,40154.98807850336
90,train,9.0,105582,110439.83645795315
90,train,2.0,43525,44840.644637133344
90,train,7.1,98273,92634.34153515921
90,train,9.5,116969,115125.49301658315
90,train,5.9,81363,81388.76579444724
90,train,10.5,121872,124496.80613384311
90,train,6.8,91738,89822.94759998121
90,train,3.2,54445,56086.22037784532
90,train,3.9,63218,62646.139559927295
90,train,4.5,61111,68268.92743028328
90,train,6.0,93940,82325.89710617324
90,train,3.0,60150,54211.95775439332
90,test,9.6,112635,116062.62432830915
90,test,4.9,67938,72017.45267718728
90,test,8.2,113812,102942.78596414518
